Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Process,Flowchart Shapes,1,,,,,,,Data
3,Process,Flowchart Shapes,1,,,,,,,Data
4,Process,Flowchart Shapes,1,,,,,,,Data
5,Process,Flowchart Shapes,1,,,,,,,Agent
6,Process,Flowchart Shapes,1,,,,,,,
7,Process,Flowchart Shapes,1,,,,,,,Entrypoint
8,Process,Flowchart Shapes,1,,,,,,,Storage
9,Text,Standard,1,,,,,,,Monitoring System
10,Process,Flowchart Shapes,1,,,,,,,Agent
11,Process,Flowchart Shapes,1,,,,,,,Agent
12,Line,,1,,,5,7,None,None,
13,Line,,1,,,3,5,None,None,
14,Line,,1,,,7,8,None,None,
15,Line,,1,,,2,10,None,None,
16,Line,,1,,,4,11,None,None,
17,Line,,1,,,10,7,None,None,
18,Line,,1,,,11,7,None,None,
