Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Process,Flowchart Shapes,1,,,,,,,
3,Text,Standard,1,,,,,,,cAdvisor
4,Text,Standard,1,,,,,,,Prometheus 
5,Text,Standard,1,,,,,,,Auto-Scaler
6,Process,Flowchart Shapes,1,,,,,,,
7,Text,Standard,1,,,,,,,Spark Master
8,Text,Standard,1,,,,,,,Spark Worker
9,Text,Standard,1,,,,,,,Spark Worker
10,Text,Standard,1,,,,,,,. . .
11,Process,Flowchart Shapes,1,,,,,,,
12,Text,Standard,1,,,,,,,Autonomic Manager
13,Text,Standard,1,,,,,,,"Apache Spark
Cluster"
14,Text,Standard,1,,,,,,,"Docker
Engine"
15,Text,Standard,1,,,,,,,Spark Submit
16,Line,,1,,,4,3,None,None,
17,Line,,1,,,4,5,None,None,
18,Line,,1,,,7,8,None,None,
19,Line,,1,,,9,7,None,None,
20,Line,,1,,,11,6,None,None,
21,Line,,1,,,11,2,None,None,
22,Line,,1,,,15,7,None,None,
