Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Text,Standard,1,,,,,,,Docker Deamon
3,Text,Standard,1,,,,,,,Container 1
4,Text,Standard,1,,,,,,,Container 2
5,Text,Standard,1,,,,,,,Container 3
6,Text,Standard,1,,,,,,,Linux Kernel
7,Text,Standard,1,,,,,,,"Machine Resources (e.g. CPU, RAM)"
8,Line,,1,,,3,2,None,None,
9,Line,,1,,,4,2,None,None,
10,Line,,1,,,5,2,None,None,
11,Line,,1,,,3,6,None,None,
12,Line,,1,,,4,6,None,None,
13,Line,,1,,,5,6,None,None,
14,Line,,1,,,7,6,None,None,
