Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5,Text Area 6,Text Area 7
1,Page,,,,,,,,,Page 1,,,,,,
2,Multidimensional Swim Lane,UML,1,,,,,,,Monitor,Analyze,cAdvisor,Prometheus,Plan,Execute,Auto-Scaler
3,State Name,UML,1,2,,,,,,Collect metrics,,,,,,
4,Start,UML,1,2,,,,,,,,,,,,
5,State Name,UML,1,2,,,,,,Store metrics,,,,,,
6,State Name,UML,1,2,,,,,,Determine if scaling is needed,,,,,,
7,Branch/Merge,UML,1,2,,,,,,,,,,,,
8,State Name,UML,1,2,,,,,,Calculate number of worker,,,,,,
9,State Name,UML,1,2,,,,,,Scale environment,,,,,,
10,End,UML,1,2,,,,,,,,,,,,
11,Line,,1,,,4,3,None,Arrow,,,,,,,
12,Line,,1,,,3,5,None,Arrow,,,,,,,
13,Line,,1,,,7,10,None,Arrow,[Scaling is not needed],,,,,,
14,Line,,1,,,7,8,None,Arrow,[Scaling is needed],,,,,,
15,Line,,1,,,5,6,None,Arrow,,,,,,,
16,Line,,1,,,9,10,None,Arrow,,,,,,,
17,Line,,1,,,8,9,None,Arrow,,,,,,,
18,Line,,1,,,6,7,None,Arrow,,,,,,,
