Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1,Text Area 2
1,Page,,,,,,,,,Page 1,
2,Start,UML,1,3,,,,,,,
3,Option Loop,UML,1,,,,,,,Autonomic Manager Workflow,
4,State Name,UML,1,3,,,,,,Collect metrics,
5,State Name,UML,1,3,,,,,,Analyze metrics,
6,Branch/Merge,UML,1,3,,,,,,,
7,State Name,UML,1,3,,,,,,Create scaling plan,
8,State Name,UML,1,3,,,,,,Execute scaling plan,
9,End,UML,1,3,,,,,,,
10,Line,,1,,,2,4,None,Arrow,,
11,Line,,1,,,4,5,None,Arrow,,
12,Line,,1,,,5,6,None,Arrow,,
13,Line,,1,,,6,7,None,Arrow,[Scaling needed],
14,Line,,1,,,7,8,None,Arrow,,
15,Line,,1,,,8,9,None,Arrow,,
16,Line,,1,,,6,4,None,Arrow,[Scaling not needed],
